name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Bergstrom International Airport, Austin, Texas",2021-09-11,90,56,74.5,87.7,56,73.6,56,59.5,0,0,0,,0,0,20.8,9.2,82.3,1017.5,6.3,9.9,236.7,20.2,8,,2021-09-11T07:13:08,2021-09-11T19:40:45,0.17,Clear,Clear conditions throughout the day.,clear-day,"KATT,KAUS,72064800230,C2969,72254013904,EAUT2,72254413958,E5093"
"Bergstrom International Airport, Austin, Texas",2021-09-12,91.1,64.1,77.4,93.2,64.1,78.5,65.4,69.9,0,0,0,,0,0,21.9,9.2,93.3,1017.1,56.5,9.9,184.8,15.9,8,,2021-09-12T07:13:40,2021-09-12T19:39:30,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KATT,KAUS,72064800230,C2969,KEDC,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-09-13,87.2,71.1,78.1,89,71.1,79,66.9,70.2,0,0,0,,0,0,26.5,20.8,94.4,1015.1,85.2,9.9,155.4,13.4,6,,2021-09-13T07:14:13,2021-09-13T19:38:15,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958,KHYI"
"Bergstrom International Airport, Austin, Texas",2021-09-14,84.8,69.2,76.9,87,69.2,77.7,65.7,69.2,0,0,0,,0,0,26.4,19.7,18.6,1010.7,81.5,9.9,161.1,13.7,7,,2021-09-14T07:14:45,2021-09-14T19:36:59,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KAUS,72064800230,C2969,KEDC,72254013904,EAUT2,72254413958,KHYI"
"Bergstrom International Airport, Austin, Texas",2021-09-15,89.1,71.1,77.6,90.6,71.1,78.3,66.4,70.4,0,0,0,,0,0,24.6,17.2,25.8,1010.2,70.4,9.9,170.8,14.8,7,,2021-09-15T07:15:18,2021-09-15T19:35:44,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958,KHYI"
"Bergstrom International Airport, Austin, Texas",2021-09-16,91.1,65,77.9,93.3,65,78.7,65.3,69.2,0,0,0,,0,0,20.8,11.4,41.9,1010.7,34,9.9,215.6,18.7,8,,2021-09-16T07:15:51,2021-09-16T19:34:28,0.35,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-09-17,94.9,65,79.6,97.6,65,80.9,66.3,68.7,0,0,0,,0,0,14.1,9.2,74.1,1013.1,23,9.9,203.7,17.6,7,,2021-09-17T07:16:23,2021-09-17T19:33:13,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-09-18,97.1,67.9,80.7,98.9,67.9,81.9,66.5,66.3,0,0,0,,0,0,20.8,11.4,36.3,1014.6,23.1,9.9,205.6,17.9,7,,2021-09-18T07:16:56,2021-09-18T19:31:57,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958,KHYI"
"Bergstrom International Airport, Austin, Texas",2021-09-19,97.1,66.8,81.8,97.8,66.8,82.7,65.5,62.9,0,0,0,,0,0,12.1,8.1,219.7,1011.6,19.9,9.9,204.9,17.5,7,,2021-09-19T07:17:29,2021-09-19T19:30:42,0.45,Clear,Clear conditions throughout the day.,clear-day,"KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
"Bergstrom International Airport, Austin, Texas",2021-09-20,98.1,73.1,84.7,100.1,73.1,86.2,67.9,62.6,0,0,0,,0,0,24.2,15,184.6,1010,22.5,9.9,223.5,19.1,8,,2021-09-20T07:18:02,2021-09-20T19:29:26,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KAUS,72064800230,KEDC,C2969,72254013904,EAUT2,72254413958"
